会员卡号,最后一次乘机时间至观察窗口末端时长
21189,97
39546,5
56972,79
44924,1
22631,3
31645,15
58877,22
28012,67
54943,3
57881,2
1254,65
8253,7
26955,2
41616,24
47229,23
13942,17
45075,3
54619,18
12349,11
35883,2
56091,8
2137,16
27708,3
3539,108
56149,34
44936,125
62751,1
40066,34
13963,3
46084,3
58798,13
56089,38
28780,1
38073,2
22629,304
24222,4
916,11
45008,1
11523,1
56088,4
56573,22
38883,4
38035,15
29033,1
16812,6
5241,14
49208,8
38241,19
38456,88
44377,19
49737,1
23528,62
58088,19
51079,4
19420,13
58753,36
13517,22
56048,29
13869,8
47432,6
60658,6
18111,2
42444,1
11055,9
47107,2
62880,7
49441,13
20569,144
47687,1
37305,15
58189,15
4178,53
2010,4
38290,11
57622,34
2001,9
60311,4
36030,21
35766,5
33319,17
55096,17
17837,3
3872,9
56201,4
4468,15
32602,63
11277,7
45117,44
19051,29
19371,14
60020,27
2007,3
56093,22
62762,2
49215,4
20362,11
38022,2
47179,27
17903,11
45581,10
47255,3
6088,24
50931,23
38443,4
8850,2
59307,38
20121,1
53451,6
59669,59
49369,11
52814,17
31219,12
29392,16
12578,24
29034,22
2012,4
26406,1
56437,5
59509,17
13061,18
12155,25
26960,1
1123,135
12536,184
43627,15
37021,6
40792,12
22418,157
27900,9
21245,11
2006,11
11028,7
62642,23
29051,6
19073,13
58686,15
781,8
36780,9
1359,1
29076,8
49714,121
55458,2
59905,49
28087,3
14825,4
20173,16
18700,7
5040,30
19751,18
9980,2
38098,8
53999,17
18869,107
47265,2
29997,11
56325,4
2104,2
40556,1
11511,69
58064,6
19497,18
21578,3
45772,1
51134,57
53729,2
44980,23
11139,16
11327,30
20131,18
47276,6
13323,10
19460,10
15014,13
21884,9
11030,3
10164,51
2196,3
38329,31
3092,1
31122,102
44276,4
38451,1
36573,3
17463,5
20144,114
20731,2
2129,5
53365,4
3018,4
36912,16
1159,1
39380,12
12218,21
38199,3
38134,178
49346,13
46325,18
27661,26
39773,317
36635,7
20685,1
20116,1
30225,13
39847,9
