会员卡号,总累计积分
21189,372204
39546,338813
56972,343121
44924,298873
22631,351198
31645,251907
58877,337839
28012,245808
54943,270704
57881,328345
1254,310002
8253,257193
26955,249914
41616,215694
47229,277394
13942,274882
45075,795398
54619,237787
12349,224081
35883,211879
56091,212131
2137,234826
27708,220012
3539,258717
56149,239108
44936,206363
62751,260880
40066,213436
13963,254051
46084,220352
58798,191878
56089,230772
28780,227957
38073,205938
22629,199386
24222,206809
916,226692
45008,195368
11523,201197
56088,272042
56573,199477
38883,234654
38035,177562
29033,195217
16812,204668
5241,259585
49208,219035
38241,195796
38456,206462
44377,201302
49737,134178
23528,182497
58088,202596
51079,170799
19420,170871
58753,181775
13517,208960
56048,220828
13869,258781
47432,224076
60658,177837
18111,164783
42444,154520
11055,210280
47107,167943
62880,177907
49441,175423
20569,196377
47687,171652
37305,203485
58189,198945
4178,208118
2010,234787
38290,189498
57622,166984
2001,195408
60311,138647
36030,214323
35766,155309
33319,143172
55096,213043
17837,154547
3872,150939
56201,181374
4468,151293
32602,164243
11277,172256
45117,162728
19051,159103
19371,174849
60020,133754
2007,182967
56093,156664
62762,258114
49215,295393
20362,165577
38022,200588
47179,152573
17903,144914
45581,216228
47255,186619
6088,154356
50931,180183
38443,174814
8850,155485
59307,122509
20121,242611
53451,153208
59669,179310
49369,111104
52814,141293
31219,181303
29392,139379
12578,142516
29034,192071
2012,153682
26406,158587
56437,160671
59509,144137
13061,81412
12155,181078
26960,144550
1123,160482
12536,166575
43627,141978
37021,141315
40792,198691
22418,160716
27900,161225
21245,198202
2006,189684
11028,155391
62642,138945
29051,221619
19073,144290
58686,137940
781,164372
36780,142631
1359,169772
29076,144683
49714,156566
55458,136195
59905,129029
28087,200391
14825,132796
20173,156893
18700,133052
5040,157710
19751,169574
9980,199762
38098,162718
53999,127625
18869,125550
47265,147720
29997,125738
56325,148129
2104,134417
40556,136638
11511,137008
58064,121759
19497,144381
21578,138499
45772,148181
51134,105421
53729,154907
44980,97974
11139,133792
11327,122503
20131,130785
47276,140265
13323,204327
19460,136156
15014,144812
21884,176266
11030,145486
10164,142824
2196,130909
38329,133546
3092,140439
31122,107965
44276,148754
38451,116402
36573,122962
17463,122797
20144,127447
20731,136439
2129,138865
53365,106281
3018,128372
36912,115574
1159,134862
39380,128699
12218,122727
38199,110162
38134,159477
49346,124552
46325,162643
27661,142357
39773,140743
36635,124745
20685,124736
20116,112666
30225,118690
39847,120635
19134,122265
53954,113209
13680,98590
56497,132653
20401,134430
23819,124270
23531,127254
27678,114233
4581,118004
3339,139674
36953,128224
44217,114036
13818,121166
8608,121796
2303,118260
33645,128940
27651,133895
9874,111357
50023,115155
40219,122278
35876,112088
58293,110203
5737,136674
39208,127389
13798,119626
13846,160863
27945,133391
54719,118207
4234,125094
38816,112327
22490,114009
35584,109619
4835,150496
38084,116936
49017,132891
29375,154953
46350,108555
58999,120960
1294,136997
728,114037
55509,137804
49453,108091
31394,154506
35877,96122
59627,93217
23026,120524
9716,115208
21656,135113
18838,129028
35464,109357
8434,109559
4446,106081
54,195726
49682,123198
38902,82693
18679,120352
18811,131242
42861,116260
22286,253332
23172,108694
23537,109570
28325,190868
857,125963
14124,111918
55273,104047
26641,125917
62340,104698
20660,130961
55480,110170
59920,110980
1069,107518
54078,113717
40506,108415
13936,118323
35960,103324
12353,107098
20117,83578
26045,102555
5039,135829
23074,125667
9901,179174
28035,107759
48251,92496
20119,113250
62776,103737
9635,125292
60904,107945
15271,102891
35677,98729
55032,108871
44368,108013
13156,128179
17660,101636
13485,118071
12275,95632
19306,108302
29309,106539
13084,110505
33114,95409
1816,130467
45720,103673
21127,117399
5902,78330
3012,105849
30596,105531
29277,101689
13108,102158
61975,99179
14993,118753
57696,122889
54913,97520
8870,92357
37041,102498
57507,83520
56362,125285
48257,108067
48173,117216
29181,118238
26942,84156
10967,106832
40676,100193
29224,109371
38275,104952
59483,83156
1843,121007
18817,137760
6031,115510
18830,102908
57758,113020
2427,100927
1231,105830
45721,97939
18013,95764
53417,126073
56776,88172
47838,98417
28345,168338
8576,107630
2561,145838
50183,162307
3003,72359
56144,102422
22702,132854
44761,111475
3210,115313
2110,96427
20760,93358
29081,99429
49340,102753
11000,108476
40664,92831
32414,52481
55873,104692
8851,93650
23223,71545
14870,100182
26803,141476
29103,108226
13204,105795
53801,104283
17530,82194
11110,91963
2352,188675
21650,100986
8497,111094
44923,95493
48328,92321
6905,112509
20962,88770
35276,103579
15247,132586
26447,98390
47894,101482
4868,104959
44090,110860
24598,102118
29324,104673
25763,109160
56156,103081
28175,98748
13295,126539
4175,97082
17306,101413
22092,91473
19379,103575
25883,92332
53513,92085
56202,95256
8925,83035
56861,95681
3501,98012
